,rand1,rand2,best1,best2,currtobest1,pbest/P-0.05,pbest/P-0.1,pbest/P-0.15,pbest/P-0.2
0,493.36796109688487,493.36796109688487,493.36796109688487,493.36796109688487,493.36796109688487,493.36796109688487,493.36796109688487,493.36796109688487,493.36796109688487
1,463.7024099849215,456.80929042097415,470.48433411107203,464.77154242468805,475.10533812590313,468.529709572416,476.70963311131305,481.74416176826094,467.8214645886508
2,420.25448008368056,401.237933495381,428.97538227001473,430.7139456789227,421.7284725540088,436.64036436420804,422.39721311222183,438.9876037249936,443.5101409573857
3,380.4754123983252,356.3108403755669,372.7532774127615,374.6459116927597,353.75268950433434,379.4538229943461,386.2637822736352,379.33831785057566,402.941682096447
4,348.3955098052905,311.05392669640844,336.5295969117475,323.4352730360476,323.87963117811165,358.557035123939,340.78721070092917,361.53638513643074,359.45010054053733
5,306.0838723248997,282.093778153592,295.8914871189501,285.84017035414183,303.8145905623116,317.7839485649841,318.9266620112818,328.8470469276812,330.7499765742505
6,277.75773505125795,264.3038535352046,264.93147856917165,259.8165523703465,274.3650343843905,294.6894472280043,301.1951628464423,312.46110874658467,290.90010224105595
7,241.32809511912336,230.02305568888133,238.17769375986472,241.72746966070753,245.7325521512146,272.6611430453783,279.64785314701874,301.3958706932717,267.05400919108683
8,223.8976009720018,210.00224277957068,224.07104683093482,220.76068114214556,231.49422335450714,255.8241832634609,259.4967949736529,277.00943209006783,246.18765623018297
9,214.04662001785172,199.42365616581182,208.64657750900523,203.5784944043743,211.1659772930906,242.709420051124,249.22182231049723,251.53814742045782,238.41385173908108
10,197.93240930822068,187.5174666336812,192.22281398851592,189.01336011170213,198.27797752124042,232.57329424055754,233.04150378086717,235.76014908837183,226.56472215099075
11,189.4018290238654,175.73170760783145,186.84816108582183,177.9999764631063,193.40927179251784,222.04888786725112,222.42453772393532,224.24607347032847,213.68990300751938
12,179.0629173693506,168.53169766229797,174.12010830521547,167.835062577846,188.29947126339775,214.0347565679704,206.6421131365398,213.97661433093265,199.5478966724846
13,168.34551901266101,159.7350002746087,166.8353958806882,156.8716514931224,180.6910041042956,200.47918055005852,187.73972200694607,191.12240770089863,187.98379071816032
14,159.60773392316682,157.09891485879723,156.62155839579947,148.49208733616118,173.95703083367596,186.8725850370989,180.11078445630199,174.9322078469597,177.077257480597
15,148.40431074027458,147.39117178911835,149.0624245210755,139.9573098738363,166.77622671750717,177.19482953882385,169.59721111176404,164.8279032306145,169.74751877474077
16,141.78276698033608,144.32899443478797,139.1158396661226,132.61595669854026,158.5441343428889,162.14863063517743,164.67338459855213,162.08502181268025,158.41925776539816
17,132.2668106736717,138.5381625877561,132.2708217759126,130.0673229793353,154.63411754986953,155.9595293279219,155.80527299285004,153.70019747716253,149.08083867913678
18,131.00012827741574,135.98758310749614,126.11792749276488,126.03844691264314,148.13760866967584,149.8931672667761,144.1067707746166,146.71429088468938,143.08835898889453
19,126.45771266882606,130.80496713734163,116.85598117806117,120.11037444192652,140.37403591102202,146.14825225318364,134.90408001877077,139.15127773762057,137.40436903277148
20,117.94641647236583,125.66560485491374,114.13577491117577,116.65138739643001,135.91933275966292,136.57511365773644,129.25468145378403,132.62009176080466,133.20603452283873
21,110.85069855578394,115.96375860554694,108.35005062030834,110.27933793492281,129.2110004916837,128.23921048555368,120.01204463130667,126.73350736839797,126.47417806716967
22,105.52256391162062,111.93791163989613,102.55722703494712,103.01258104454067,121.25066422165996,121.75038454466244,114.50910303953225,120.06410466821335,122.39076961129376
23,103.05897437724552,107.75028742886212,96.24621877890674,98.47182672184913,117.11233172857129,116.4355111858382,110.93817407357473,113.91322838220661,119.3694543129907
24,98.16934023770233,103.09457068004282,89.67395035010217,94.43886129421675,112.99437741673476,113.18248668005319,105.79181284664979,106.36862944295221,111.3327917771737
25,93.1865478542208,100.11680476549866,85.25978122812718,87.27502137231276,108.20206946279698,109.06279025553336,102.87477023950895,101.85687458493297,104.50112779272769
26,89.62041653012861,94.15952936443016,79.28333645112738,82.86400049899729,106.18473270938037,105.12717080984407,98.64376804744286,99.0422823759668,98.47356799285016
27,86.06931221264175,90.03843894021615,75.77813617266773,80.5157357811873,102.988829602456,102.24475282714259,92.4784938523503,95.07588073989645,94.84294025589666
28,81.10654840158995,86.317733684713,73.87058539082278,78.07439106801439,99.0989175810764,96.96612678922178,88.20265909835307,92.50318097967588,89.98626820250756
29,77.82938813678291,82.81608561959091,70.9779973818505,75.26027804183816,95.41348425708983,93.63578010936511,84.78303986908941,87.67850056585434,87.03072787622614
30,70.19402152314714,79.17377779160238,64.90816397548647,72.11592221045545,92.07568894654439,90.84717614525154,80.48197100203846,83.43145345410672,82.6974636312522
31,67.71752906831324,75.04825893930757,61.961982301341386,69.14139088418264,89.60422804163025,86.21777116202267,77.01845399820961,81.13454226175102,80.7897944190857
32,63.54152404027994,71.81433250920819,57.608984490966826,64.4005200697821,87.26233640382334,84.10280825101252,73.56416846502707,77.68283615808664,77.18383565040155
33,60.88956148851391,69.03179254610637,53.73311912009068,60.73393986387534,84.45816321884443,81.40228673928003,69.8108043501507,72.5929093210578,74.03296899417548
34,57.49487698130592,67.78323111543274,50.27195612219656,57.77090645518956,82.5280613996557,78.23209603211545,66.23111469837811,70.81479736941525,68.74702903774951
35,54.56224450673172,64.99485242047366,46.12535355532605,55.34218227475047,78.21853396506171,72.91674739909452,64.72887135417042,66.70425674705763,65.3041027198337
36,51.63351233203543,61.38577610233447,42.980529963320876,51.6371424301263,73.57935609023674,71.47322220494563,61.74518582762508,62.59888885378372,62.55694730677365
37,47.70435604880428,57.57402462442907,39.50411756741401,50.819051275288516,70.71115501091472,69.44327277460744,59.0454460526176,59.38210117483242,61.38874465995762
38,45.809706721979865,55.52880578386224,37.869472958239065,48.879813001627305,68.24338549876754,67.12511904324379,56.62922913531441,55.86071534517438,58.03707259249227
39,42.825614054789646,53.83558689500153,35.22345412674274,46.871773215144344,66.42765565739869,64.04907553316373,54.198038156440056,54.9392061815868,54.711720939148776
40,41.71272901150787,52.53925680510943,33.45221787945397,43.836202604754206,64.23969688656187,61.61388134401589,53.59676465370983,51.96581948153387,53.23910698938388
41,40.7684717690499,50.35445646229347,30.66543002252324,42.277694287367176,61.167085344889344,58.683679291683426,50.52155624063274,50.20452343300485,50.77384351888176
42,38.29772320326072,48.516596183129224,29.776072975742373,40.300476205364944,58.7292778778101,56.294021152620424,48.446498289503694,49.606642490093776,46.216865601822725
43,35.92692492936522,46.19490113385418,27.719553768549964,38.484494734455915,57.11929788562498,54.70927285612217,45.78341844405721,47.718019005939226,44.21442002715418
44,34.19766470386168,44.746305766451854,25.577585069425634,37.68734261436249,54.81492451720552,51.734186864449505,44.12010815778196,45.21115734507794,41.26568545113334
45,32.793781301276866,41.60617911035176,24.804887425750962,36.66162496247427,53.184310892129595,50.92542445073657,41.28961494399347,42.41978722220075,40.17542825022225
46,31.359133935380218,38.72028966321588,23.1239514368394,34.17336579731385,52.916106270372666,48.55367741667761,39.88472013203464,41.42972935081721,38.16137323553524
47,29.57434642896349,36.30457459550472,22.288953892389152,32.79391322255876,51.883282982049955,46.198460079696694,38.239400900621895,39.01037017450467,36.72094529916308
48,28.38376686065852,35.7312858618206,20.956213775056888,31.758615572770353,50.60706964643889,42.655265277444634,36.471514005701586,36.71379107242867,35.33074611375518
49,26.78839068435064,34.50864051209437,20.617402660709978,30.79365996383272,48.85026403749255,40.950410995421315,34.69918829162394,35.84619749887217,33.41165848972431
50,25.130647394596732,33.685370389622086,19.173744295220487,29.820983039124926,47.4865209170396,39.21758179467255,32.17117147929858,34.65042223880871,31.88641047085916
51,23.33580300157656,33.08371547184205,18.4986558264809,29.189378122620713,46.01045372335115,38.54527294498887,30.85119873250993,33.487565192159416,30.166719844030865
52,21.608446880397292,32.199681696715466,18.064192086906345,27.242135909614216,44.38100959558198,37.43453879980896,29.47749741039966,32.446069689327665,29.14113357848598
53,20.979959342220017,31.395721774439256,16.947200506599792,25.423330657607917,41.66612086959087,35.83712494119923,28.79796395885063,31.10454090796077,28.559484279756138
54,20.381266833109798,29.53220298804978,15.963721391830116,23.96007691700337,40.54733476343541,34.4335145117,27.508590125266434,30.19124698569068,27.72414709988416
55,19.201892406720862,28.26482276155408,15.158905107266948,23.14016884049175,39.71264821772739,32.34150305143708,26.280792339352754,28.916518658390924,26.59231334928555
56,18.44650313858926,27.25196123386472,14.27548671339695,22.326546447141958,38.73657633579551,30.805240822117607,25.7101958009144,27.339452821549465,25.6163860438349
57,17.486320824818357,25.578717329011248,13.630159442430658,21.329066037205944,36.295063316099046,30.57755685033354,24.243261782893512,26.07318633267599,24.48411923613414
58,16.801076339488827,24.420789900708122,12.88857902968528,20.340382340617275,35.830616955218154,29.13041348709061,23.42389518859124,24.442730205247578,23.72869584089665
59,15.200074391271377,23.64807685499645,12.053323349071269,19.835729805668752,35.228220318987916,27.886768145950352,22.001026415049505,23.30154307813406,22.814094378785356
60,14.595038374640604,22.981339048906477,11.77803527232226,19.369717427732926,33.78920810260836,25.961435761161102,21.065707353303115,22.47388923347495,22.532888631514844
61,13.940546131480497,21.579644969830767,10.7203782636189,18.838067174475686,32.57959918501152,24.674628969746113,20.558332473605713,21.543035544833046,21.66733155807099
62,13.333281651397767,20.615070467954034,10.34519849030216,18.367957281441427,31.776992834293594,23.665586585778794,19.33754082680649,20.856341440807398,20.73562626127424
63,12.521068318957864,19.91605254729695,9.826587213984977,17.903593015713977,31.090788767030332,22.73141355222695,18.757471088788318,19.52234604426513,20.017537812747555
64,11.994983646253566,19.677824225319902,9.326735879802582,17.33524900739428,30.383299457430088,21.738502940211227,18.06664047573381,19.36043725276294,19.62083882375959
65,11.285189765637769,19.152686208197874,8.658882839226244,16.462201968411748,29.07780808208512,21.252319247205193,17.08235521629366,19.02181472485584,19.253557146403118
66,10.874116113044447,18.314008559080367,8.406969159298113,15.796823085331999,27.873922790303553,20.413127565813106,16.204147306348673,18.521361618694108,17.941033039742422
67,10.336390115913991,17.62137043625762,7.748817399448571,15.38600193316227,27.177060049123174,19.904297545805715,15.442382161300499,17.99881464933547,17.56579373064942
68,9.788344355522048,16.680705876746714,7.4811642197526345,14.732696047782406,26.58317921737675,19.588159671132424,15.172522168993819,16.888509453845405,16.750290772749622
69,9.42122070122606,16.265431965307833,7.122693468178394,13.946229491173593,25.530290534049477,19.184258403427076,14.613304231380603,16.09930351815364,15.936258315442718
70,8.798789917887712,15.794710060550537,6.864884754840384,12.978218375042562,25.054829871469064,18.78450440088674,14.428320601452274,15.45530059517987,15.245379303952095
71,8.319040135245116,15.302820274514923,6.446526324789938,12.243738305560152,24.032564299256194,18.05432487270376,14.023854412978592,15.051259873958097,14.533472617856113
72,7.872681232182548,14.878391377932171,6.0166537223905125,11.473609185517939,23.835611688338805,16.966538924308665,13.339989758795982,14.458769462939966,14.219402514733808
73,7.493316917829955,14.495048937394873,5.5923412650399875,11.184970155438185,23.550895463950656,16.551596371271525,12.770353131917505,14.059747147840605,13.418817147064233
74,7.295070685015918,13.82102297738183,5.275342945921379,10.814771546354528,22.88770808821131,15.391997791571406,12.040496239511018,13.554219186343227,12.853772488324909
